Name,Longtitude,Latitude,Address,Area,St,Li,Lin,ZIP,Enrollment_Number
臺北市大安區幸安國民小學附設幼兒園,121.5349702,25.037684,臺北市大安區民炤里15鄰仁愛路三段22號,大安區,仁愛路,民炤里,15鄰,106,196
臺北市大安區古亭國民小學附設幼兒園,121.5288337,25.02066,臺北市大安區古風里5鄰羅斯福路三段201號,大安區,羅斯福路,古風里,5鄰,106,120
臺北市大安區新生國民小學附設幼兒園,121.5331684,25.0298538,臺北市大安區龍安里10鄰新生南路二段36號,大安區,新生南路,龍安里,10鄰,106,120
臺北市大安區建安國民小學附設幼兒園,121.5461699,25.029362,臺北市大安區龍雲里17鄰大安路二段99號,大安區,大安路,龍雲里,17鄰,106,150
臺北市立大安幼兒園,121.545943,25.027195,臺北市大安區群英里32鄰四維路198巷31弄11號,大安區,四維路,群英里,32鄰,106,210
臺北市和平實驗國民小學附設幼兒園,121.5453266,25.0213639,臺北市大安區臥龍里1鄰敦南街76巷28號,大安區,敦南街,臥龍里,1鄰,106,60
國立臺北教育大學附設實驗國民小學附設幼兒園,121.540946,25.0250425,臺北市大安區龍淵里25鄰和平東路二段94號,大安區,和平東路,龍淵里,25鄰,106,120
臺北市大安區龍安國民小學附設幼兒園,121.5348854,25.0239215,臺北市大安區龍門里10鄰新生南路三段33號1樓至3樓,大安區,新生南路,龍門里,10鄰,106,180
臺北市大安區大安國民小學附設幼兒園,121.5503819,25.0189254,臺北市大安區芳和里8鄰臥龍街129號1至2樓,大安區,臥龍街,芳和里,8鄰,106,226
臺北市大安區仁愛國民小學附設幼兒園,121.5521443,25.0358446,臺北市大安區敦安里6鄰安和路一段60號1樓,大安區,安和路,敦安里,6鄰,106,120
臺北市大安區銘傳國民小學附設幼兒園,121.5354217,25.0140674,臺北市大安區學府里17鄰羅斯褔路四段21號,大安區,羅斯褔路,學府里,17鄰,106,60
臺北市大安區公館國民小學附設幼兒園,121.5428115,25.0124029,臺北市大安區學府里5鄰基隆路四段41巷68弄2號1樓至2樓,大安區,基隆路,學府里,5鄰,106,90
臺北市中山區中山國民小學附設幼兒園,121.5264144,25.0630518,臺北市中山區恆安里15鄰民權東路一段69號,中山區,民權東路,恆安里,15鄰,104,180
臺北市立中山幼兒園,121.5467567,25.081884,臺北市中山區大直里21鄰大直街25號1、2樓,中山區,大直街,大直里,21鄰,104,270
臺北市中山區大直國民小學附設幼兒園,121.5464127,25.0805261,臺北市中山區大直里28鄰大直街2號,中山區,大直街,大直里,28鄰,104,106
臺北市中山區永安國民小學附設幼兒園,121.5495772,25.0787857,臺北市中山區永安里32鄰明水路397巷19弄1號,中山區,明水路,永安里,32鄰,104,150
臺北市中山區大佳國民小學附設幼兒園,121.5364113,25.0733492,臺北市中山區大佳里6鄰濱江街107號2樓,中山區,濱江街,大佳里,6鄰,104,60
臺北市中山區五常國民小學附設幼兒園,121.5422023,25.0641393,臺北市中山區行仁里6鄰五常街16號,中山區,五常街,行仁里,6鄰,104,226
臺北市中山區吉林國民小學附設幼兒園,121.5295852,25.0547389,臺北市中山區中原里6鄰長春路116號,中山區,長春路,中原里,6鄰,104,174
