Date,Area,value
2017-07-01,文山區,463740.955892368
2017-07-01,南港區,519965.341974034
2017-07-01,內湖區,506397.988244855
2017-07-01,士林區,476125.085566217
2017-07-01,北投區,442595.258273783
2017-08-01,松山區,623075.088156605
2017-08-01,信義區,616213.381034596
2017-08-01,大安區,696687.442593409
2017-08-01,中山區,619346.890595131
2017-08-01,中正區,642745.462081
2017-08-01,大同區,538210.984478743
2017-08-01,萬華區,477785.824751039
2017-08-01,文山區,457800.825471129
2017-08-01,南港區,490092.373063335
2017-08-01,內湖區,496988.974870789
2017-08-01,士林區,487605.392260481
2017-08-01,北投區,449452.354630662
2017-09-01,松山區,616050.058837614
2017-09-01,信義區,603736.093860894
2017-09-01,大安區,683263.831819229
2017-09-01,中山區,606013.462104247
2017-09-01,中正區,676257.158524439
2017-09-01,大同區,515448.830187688
2017-09-01,萬華區,463648.540226382
2017-09-01,文山區,452936.315992543
2017-09-01,南港區,495556.417464466
2017-09-01,內湖區,494862.822724069
2017-09-01,士林區,474491.927542738
2017-09-01,北投區,435761.775377055
2017-10-01,松山區,607082.900717383
2017-10-01,信義區,617912.405830123
2017-10-01,大安區,683114.804527115
2017-10-01,中山區,606599.088183105
2017-10-01,中正區,646249.545254808
2017-10-01,大同區,521955.716663661
2017-10-01,萬華區,496668.045018967
2017-10-01,文山區,448000.4294986
2017-10-01,南港區,482105.509698083
2017-10-01,內湖區,480078.795007725
2017-10-01,士林區,484629.737880132
2017-10-01,北投區,416158.654747521
2017-11-01,松山區,597400.554718972
2017-11-01,信義區,603201.433369163
2017-11-01,大安區,703415.818531836
2017-11-01,中山區,607282.182507143
2017-11-01,中正區,644076.37058491
2017-11-01,大同區,563532.533619779
2017-11-01,萬華區,512866.031825207
2017-11-01,文山區,449523.42436347
2017-11-01,南港區,502336.591022796
2017-11-01,內湖區,493551.529971313
2017-11-01,士林區,492658.195661391
2017-11-01,北投區,344415.375129292
2017-12-01,松山區,593400.217085403
2017-12-01,信義區,595459.887256179
2017-12-01,大安區,691531.790096628
2017-12-01,中山區,598670.894746568
2017-12-01,中正區,644860.822297551
2017-12-01,大同區,521904.968059675
2017-12-01,萬華區,491303.204502289
2017-12-01,文山區,456698.983504728
2017-12-01,南港區,508361.595774382
2017-12-01,內湖區,490871.271224825
2017-12-01,士林區,490738.653407782
2017-12-01,北投區,408981.151635756
2018-01-01,松山區,623035.832916052
2018-01-01,信義區,597458.922793104
2018-01-01,大安區,684655.651427935
2018-01-01,中山區,607481.049789116
2018-01-01,中正區,652282.082906091
2018-01-01,大同區,519764.486173384
2018-01-01,萬華區,484832.112714954
2018-01-01,文山區,452956.955583861
2018-01-01,南港區,501797.204857494
2018-01-01,內湖區,499707.24145594
2018-01-01,士林區,503557.386993283
2018-01-01,北投區,424641.864754625
2018-02-01,松山區,638236.91586478
2018-02-01,信義區,623894.548503334
2018-02-01,大安區,720150.679853888
2018-02-01,中山區,603941.065060281
2018-02-01,中正區,648283.519967127
2018-02-01,大同區,531783.941582286
2018-02-01,萬華區,496982.246489771
2018-02-01,文山區,452752.603653562
2018-02-01,南港區,499798.80485614
2018-02-01,內湖區,497030.695220094
2018-02-01,士林區,515209.862196827
2018-02-01,北投區,436660.281263058
2018-03-01,松山區,634485.109909266
2018-03-01,信義區,609336.22601077
2018-03-01,大安區,704766.52575143
2018-03-01,中山區,600347.960980118
2018-03-01,中正區,629333.515429551
2018-03-01,大同區,532514.875523729
2018-03-01,萬華區,480888.330375918
2018-03-01,文山區,453468.698590437
2018-03-01,南港區,509513.325489387
2018-03-01,內湖區,491813.315976692
2018-03-01,士林區,510734.243393898
2018-03-01,北投區,447081.448416634
2018-04-01,松山區,633694.54825887
2018-04-01,信義區,610320.764103256
2018-04-01,大安區,705152.113571916
2018-04-01,中山區,599304.661391914
2018-04-01,中正區,662594.100328279
2018-04-01,大同區,533179.632387903
2018-04-01,萬華區,483351.405597531
2018-04-01,文山區,445019.266056678
2018-04-01,南港區,494832.606578159
2018-04-01,內湖區,497063.180559557
2018-04-01,士林區,505630.029954778
2018-04-01,北投區,435546.28231093
2018-05-01,松山區,634061.289822694
2018-05-01,信義區,602739.34866522
2018-05-01,大安區,720819.73883155
2018-05-01,中山區,612835.89040311
2018-05-01,中正區,663825.807622837
2018-05-01,大同區,526185.681300605
2018-05-01,萬華區,500927.431211022
2018-05-01,文山區,445674.243024104
2018-05-01,南港區,518669.947878882
2018-05-01,內湖區,488473.822936251
2018-05-01,士林區,521315.808065456
2018-05-01,北投區,449811.509968612
2018-06-01,松山區,634432.279952243
2018-06-01,信義區,607346.1918922
2018-06-01,大安區,704825.556897001
2018-06-01,中山區,601193.567572607
2018-06-01,中正區,653935.971964642
2018-06-01,大同區,529767.993030269
2018-06-01,萬華區,482301.351414415
2018-06-01,文山區,451167.361434589
2018-06-01,南港區,509873.917325193
2018-06-01,內湖區,490994.053116056
2018-06-01,士林區,512132.09221645
2018-06-01,北投區,455539.800569467
2018-07-01,松山區,639530.488206941
2018-07-01,信義區,605583.424453907
2018-07-01,大安區,731108.266304877
2018-07-01,中山區,614003.071138166
2018-07-01,中正區,651347.289838775
2018-07-01,大同區,526787.327117354
2018-07-01,萬華區,492375.691714561
2018-07-01,文山區,437420.996517825
2018-07-01,南港區,512246.739800405
2018-07-01,內湖區,498796.233815503
2018-07-01,士林區,501857.053299917
2018-07-01,北投區,445807.852297599
2018-08-01,松山區,639167.471316655
2018-08-01,信義區,597493.475275416
2018-08-01,大安區,718217.383933286
2018-08-01,中山區,610188.833686146
2018-08-01,中正區,642886.555212643
2018-08-01,大同區,538541.08301689
2018-08-01,萬華區,477199.203398571
2018-08-01,文山區,442721.206297554
2018-08-01,南港區,501696.476048803
2018-08-01,內湖區,492074.396604367
2018-08-01,士林區,497586.668630653
2018-08-01,北投區,458672.597295199
2018-09-01,松山區,650205.554204381
2018-09-01,信義區,582695.394373836
2018-09-01,大安區,716821.855434649
2018-09-01,中山區,604584.133300806
2018-09-01,中正區,671839.117328384
2018-09-01,大同區,516291.495021686
2018-09-01,萬華區,468212.716949885
2018-09-01,文山區,445552.863743301
2018-09-01,南港區,514652.959788237
